well_id,water_cut_fraction,MAIP_psi,required_injection_pressure_psi,porosity_fraction,permeability_md,TDS_mg_L,oil_in_water_ppm,TSS_mg_L,Ca_mg_L,SO4_mg_L,Ba_mg_L,Sr_mg_L,CRI,SRI,lithology,pH,temperature_C,GRSS,recommended_decision,main_reason
W01,0.576,7696,4764,0.267,671,2438,10.36,43.3,991,213,0,87,12.7,26.2,sandstone,7.57,34.79,71.16,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.509,7116,3772,0.278,722,3128,6.46,84.7,1373,115,0,141,18.6,17.1,sandstone,8.07,39.21,73.53,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.543,7460,3897,0.278,718,2104,9.5,7.31,1302,139,0,53,0,0,sandstone,8.14,42.15,94.43,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.529,7141,3725,0.277,699,2773,11.33,45.02,910,262,0,127,34.7,43.3,sandstone,7.85,55.82,71.68,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.538,7105,3787,0.261,552,3136,7.06,96.92,1347,158,0,109,19.7,19.1,sandstone,7.97,39.45,78.14,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.528,7363,4786,0.263,727,3015,11.39,28.91,1694,98,0,99,9.2,0.7,sandstone,8.02,42.19,89.07,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.552,7496,5008,0.284,643,3494,34.71,107.45,1633,295,0,120,20,41,carbonate,9.79,17.35,66.85,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.512,7622,3925,0.288,875,1870,10.67,40.18,1298,359,0,52,35,32.5,sandstone,8.08,56.46,77.94,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.561,7328,4406,0.253,565,3067,6.93,87.94,1602,222,0,116,21.5,32.9,sandstone,7.74,46.33,74.13,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.564,7780,4811,0.282,612,3088,10.83,16.69,1555,147,0,131,4.4,23.1,carbonate,7.96,43.86,91.41,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.55,7472,3875,0.285,636,1445,9.21,107.57,989,213,0,69,28.9,27.4,sandstone,8.1,49.47,73.59,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.53,7296,4059,0.266,413,2273,9.65,48.3,1539,185,0,116,13.7,32.3,sandstone,8.03,40.87,93.75,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.559,6995,4038,0.257,597,3030,7.36,84.63,1435,150,0,117,32.6,20.4,sandstone,7.86,52.01,76.21,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.601,6624,4061,0.262,652,1640,22.36,77.19,1479,272,0,135,17.8,56.9,sandstone,8,40.7,76.3,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.588,7340,4783,0.291,827,2459,9.76,6.86,1085,185,0,95,6.1,24.3,sandstone,7.97,48.03,86.26,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.507,7494,3667,0.274,739,1414,12.86,108.26,1236,218,0,164,20,57.3,sandstone,8.2,44.26,76.81,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.548,7138,4226,0.265,571,2436,6.48,43.56,1554,131,0,142,12.8,26.3,sandstone,7.85,39.65,75.72,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.537,7575,4517,0.301,830,2213,9.63,51.92,1277,141,0,62,14.3,2.9,sandstone,8,43.83,72.16,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.556,7095,3805,0.266,550,3226,6.28,111.94,1021,155,0,89,20,11.2,sandstone,7.99,43.01,71.44,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.579,7437,3803,0.284,674,1966,13.33,59.7,1427,185,0,97,16.6,28.9,sandstone,7.85,45.54,77.17,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.549,7097,4038,0.274,726,2445,8.41,109.31,456,209,0,139,20,41.1,shale,7.77,43.81,78.63,Treat then inject,"Shale increases formation damage risk and lowers injectivity, so treatment is required before any injection."
W01,0.579,7078,4445,0.266,505,2813,7.96,20.85,1123,98,0,82,20.4,0,sandstone,7.08,36.08,87.96,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.59,6520,4351,0.259,616,1514,6.5,57.79,1326,363,0,92,38.8,56.1,sandstone,7.88,56.79,75.32,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.579,7230,4287,0.282,706,4998,11.5,47.29,758,113,0,136,25.8,6.4,carbonate,7.63,51.17,93.15,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.542,7188,3976,0.271,612,972,10.41,56.6,1610,442,0,93,15.1,72.8,carbonate,8.12,37.94,74.12,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.578,7198,4855,0.291,697,2193,8.9,26.94,804,118,0,99,8.6,12.7,sandstone,8.34,31.14,78.57,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.515,7421,4075,0.284,794,2440,8.72,72.77,1130,171,0,110,22.6,26.7,sandstone,8.18,47.69,75.18,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.518,6902,4705,0.28,622,2829,8,82.12,1335,262,0,173,20.4,53.2,sandstone,8.27,46.04,72.31,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.557,7553,5189,0.264,512,1217,9.44,64.36,860,246,0,135,19.5,57.2,shale,8.23,46.66,73.63,Disposal,"Shale interval is too sensitive under the current quality/risk profile, so disposal is preferred over injection."
W01,0.55,7519,4764,0.252,607,2028,8.13,154.89,1232,195,0,73,41.9,20.7,shale,8.89,55.94,58.54,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.616,6973,4701,0.27,712,2266,8.08,46.36,1188,184,0,188,35,48.3,carbonate,7.78,55.82,84.07,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.588,7440,4719,0.252,587,1355,9.41,30.87,1241,145,0,129,9.8,36.4,sandstone,8,44.13,69.43,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.549,7276,4163,0.28,740,3153,11.67,56.63,891,185,0,160,15.1,37,carbonate,8.25,39.91,73.59,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.58,7652,4653,0.268,605,1640,10.23,19.46,1515,150,0,109,30.9,28.9,sandstone,8.26,57.54,82.82,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.595,6940,4776,0.269,542,3900,9.41,45,1580,93,0,65,13.1,0,sandstone,8.09,37.56,73.82,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.627,7381,4770,0.268,667,2026,9.01,94.64,1574,137,0,107,19.5,21.7,sandstone,8.06,42.48,72.33,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.537,7682,3779,0.264,571,1138,12.17,29.95,1526,110,0,136,9.5,31.7,carbonate,8.98,43.28,93.04,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.534,7420,5287,0.28,719,6459,24.03,254.84,1453,112,0,94,21.2,0,sandstone,9.65,45.6,60.5,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.586,7623,4116,0.284,759,2825,10.85,113.24,1482,235,0,110,25.7,34.6,sandstone,8.14,47.83,78.63,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.606,7316,4657,0.293,756,3069,9.39,25.91,1562,157,0,144,8.3,28.5,sandstone,8.14,37.77,73.2,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.597,7364,4093,0.273,677,280,10.99,16.71,1834,238,0,180,8.8,81.5,carbonate,8.12,47.17,86.64,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.569,6698,3617,0.273,685,1886,10.69,63.46,900,295,0,97,16.1,45.2,carbonate,8.12,43.08,82.21,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.579,7262,4157,0.263,559,2151,20.56,130.09,1234,275,0,120,24.9,47.6,sandstone,8.04,47.43,62.78,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.553,7335,4142,0.266,584,1975,7.68,87.54,1783,134,0,164,18.8,35.6,carbonate,7.99,44.28,73.61,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.53,7166,4707,0.265,551,3518,7.9,208.25,1745,317,0,111,20,41.3,sandstone,8.41,38.44,73.94,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.594,7244,4690,0.267,635,3370,9.9,32.84,1748,88,0,141,24,6.8,sandstone,8.08,51.82,83.29,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.601,7345,4439,0.274,597,1907,10.53,37.31,1046,166,0,97,20.5,25.8,sandstone,7.97,49.52,94.29,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.587,7576,4202,0.284,779,1110,8.24,120.22,1553,250,0,100,24.9,50.9,sandstone,8.88,47.46,77.83,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.592,7655,7855,0.278,790,3271,9.85,158.52,1102,402,0,112,20,50.3,sandstone,8.55,40.06,45.9,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.579,6559,3661,0.279,622,3171,10.46,28.95,512,201,0,90,9.2,20.5,carbonate,8.44,43.88,86.25,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.595,7297,4677,0.267,546,130,11.27,86.37,1174,419,0,131,84.1,83,sandstone,6.44,77.54,63.49,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.561,7188,3732,0.269,734,3428,9.73,38.09,1115,176,0,151,13.3,31.8,carbonate,7.61,45.82,89.99,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.572,7487,4079,0.272,683,2556,10.18,77.81,1388,134,0,165,41.1,31.2,sandstone,8,56.64,70.3,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.552,7780,4006,0.274,577,3793,41.97,111.58,1111,108,0,123,50,6.8,carbonate,7.69,73.47,70.14,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.607,7151,4686,0.255,647,1911,12.04,35.7,1325,344,0,97,11.1,51.3,sandstone,8.1,40.12,73.86,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.594,7509,4208,0.268,714,1959,4.55,17.84,1486,185,0,128,5,38.2,carbonate,8.18,36.65,82.88,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.545,7144,3722,0.28,565,2914,11.28,12.86,598,140,0,88,4.2,9.3,sandstone,7.93,46.02,85.28,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.628,7490,4534,0.276,554,567,10.32,119.53,1491,286,0,135,20,76.2,carbonate,8.01,35.14,71.99,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.564,7493,3761,0.282,658,3737,10.84,23.54,1004,201,0,75,19.7,11.3,sandstone,8.98,51.14,72.28,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.563,7024,3908,0.268,650,3509,9.29,47.14,1596,58,0,94,13.5,0,sandstone,8.23,44.41,83.7,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.587,7126,4006,0.279,631,577,20.19,148.15,1181,205,0,84,20,46.2,carbonate,8.09,34.84,70.11,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.568,7419,5281,0.299,809,1489,8.83,251.4,1020,304,0,80,50,43.7,sandstone,7.8,65.85,61.73,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.601,7248,4933,0.273,628,3173,35.18,226.43,2045,234,0,93,20,26.8,sandstone,9.24,21.8,69.28,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.568,7729,7929,0.278,819,2243,9.97,112.05,1151,214,0,169,20,49.9,sandstone,8.21,25.82,64.1,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.619,7188,4675,0.267,585,2080,7.29,57.43,1289,190,0,103,15.2,30.8,sandstone,8.06,39.4,78.91,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.605,7428,4610,0.268,659,2436,7.56,40.71,1709,5,0,154,12.2,0,sandstone,7.78,38.89,73.68,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.611,7414,4740,0.271,659,105,9.72,239.96,1499,139,0,82,50,48.7,sandstone,7.75,76.27,62.44,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.599,6809,4112,0.278,605,2818,7.14,22.67,2138,92,0,104,7.1,1.5,sandstone,7.85,41.77,90.3,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.574,6739,4565,0.284,701,3961,8.93,98.98,1070,212,0,98,19.9,20.9,carbonate,8.03,37.86,74.41,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.608,6926,4778,0.278,687,1548,8.13,267.48,1493,209,0,136,20,48.2,carbonate,7.92,42.47,74.84,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.625,6806,4667,0.298,894,1508,6.37,53.21,1230,269,0,119,14.5,52.9,sandstone,7.95,40.39,70.59,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.63,7096,4681,0.244,478,3563,9.35,34.73,1000,124,0,114,38.1,10.1,sandstone,7,50.31,77.05,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.586,6828,4727,0.254,488,2883,7.35,41.51,1449,224,0,136,12.4,39.6,shale,8.37,33.14,40.09,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.616,7498,7698,0.274,696,2474,32.89,340.79,1114,285,0,138,20,51,sandstone,9.58,38.53,38.45,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.58,6936,4136,0.28,643,2448,11.94,27.14,1040,204,0,118,23.8,34.8,sandstone,7.81,52.56,90.61,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.608,7315,4625,0.306,824,2236,7.56,8.49,1530,250,0,113,6.7,41.8,sandstone,8.21,48.37,85.2,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.567,6742,3590,0.285,738,189,9.69,127.56,1588,145,0,118,46.3,58.2,sandstone,6.71,15.28,75.99,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.599,7123,3908,0.277,598,4099,9.48,42.97,1617,271,0,115,12.7,33.7,carbonate,7.92,35.09,88.73,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.555,7240,4067,0.267,502,2226,7.33,107.35,1870,349,0,99,37,51.2,shale,8.12,53.48,44.84,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.621,7200,4648,0.275,636,3122,4.77,53.3,1401,181,0,166,38.2,37.7,carbonate,7.84,56.82,89.21,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.608,6847,4541,0.274,703,2066,8.04,141.11,1503,233,0,88,20,32.5,sandstone,8.31,27.02,72.58,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.615,7288,4295,0.297,805,2315,10.7,70.18,1337,267,0,129,16.9,47.7,sandstone,7.88,36.88,76.36,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.573,7448,4914,0.253,556,1512,10.15,140.98,930,230,0,114,20,45.9,sandstone,7.78,35.91,66.22,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.588,7540,3728,0.296,885,3312,7.73,75.3,1332,176,0,113,17.5,22.8,sandstone,8.27,44.05,73.24,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.551,7368,4533,0.276,654,3080,5.92,159.3,1636,116,0,141,32.3,17.7,sandstone,7.71,51.14,72.43,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.615,7337,4211,0.275,662,923,10.72,41.23,1333,114,0,164,12.3,42.1,sandstone,8.36,33.62,94.02,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.562,7180,4517,0.256,558,271,8.71,132.64,1481,274,0,106,20,75.2,sandstone,8.2,40.84,60.69,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.601,7374,4042,0.269,562,4648,11.55,148.53,1307,320,0,99,22.7,31.8,carbonate,8.09,46.33,72.09,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.603,7116,4479,0.289,679,3930,8.86,113.25,1386,272,0,104,20,31.3,sandstone,7.79,34.96,73.14,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.584,7116,4389,0.272,487,1966,21.5,173.5,1599,214,0,120,20,40.8,sandstone,7.73,36.65,77.33,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.611,6925,4516,0.283,224,293,8.25,117.52,1113,127,0,57,20,23.7,sandstone,8.12,37.02,78.87,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.586,7338,4069,0.26,670,591,17.7,89.54,1491,219,0,141,29.5,66.8,sandstone,7.8,50.23,78.72,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.599,7780,5100,0.272,604,2645,8.54,8.38,1931,142,0,55,0,0,sandstone,7.65,44.39,93.76,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.621,7698,3969,0.269,605,2049,6.69,53.45,1016,236,0,154,17.7,51.7,shale,8.04,46.55,40.38,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.579,7015,4409,0.26,560,5376,6.97,274.26,1703,306,0,110,42.6,31,sandstone,9.09,56.32,74.88,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.58,7305,4706,0.288,640,115,8.41,272.73,1990,191,0,97,20,67.3,sandstone,7.92,20.26,63.74,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.578,7069,8269,0.249,542,2208,4.97,299.54,1968,300,0,127,20,54.1,sandstone,7.74,25.35,33.71,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.619,7388,4891,0.255,572,4220,6.17,95.6,1013,49,0,132,23.8,0,sandstone,8.06,47.12,78.56,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.595,7511,4741,0.254,554,2961,7.69,24.09,847,153,0,77,7.6,7.5,sandstone,7.82,31.61,72.1,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.576,6992,4177,0.284,661,2730,7.46,94.95,1371,150,0,124,19.5,24.2,sandstone,8.19,36.44,76.21,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.581,7180,4620,0.294,813,1501,6.09,54.27,1109,58,0,102,21.6,0,sandstone,7.77,48.44,70.53,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.583,7280,4881,0.261,621,1165,10.14,115.17,984,228,0,61,25,28.9,sandstone,7.73,47.52,70.96,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.587,7104,4860,0.288,808,246,11.92,241.8,736,136,0,87,29.2,41.6,carbonate,8.08,49.59,73.23,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.603,7519,3957,0.295,709,1005,10.96,211.12,1271,421,0,115,20,76.2,sandstone,8.18,39.53,64.09,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.583,6903,4376,0.275,662,1685,11.1,70.09,1507,80,0,139,17.2,15.6,sandstone,8.18,45.16,73.41,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.627,7417,4496,0.287,704,1560,8.8,49.41,1470,262,0,175,13.9,65,sandstone,7.67,33.28,73.37,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.602,6871,3779,0.261,553,2483,4.54,14.55,974,258,0,130,3.3,45.6,sandstone,7.7,41.95,91.73,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.635,7780,4312,0.283,753,1793,11.19,86.86,1437,369,0,122,43.1,63.3,sandstone,7.24,52.84,72.14,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.632,7363,3737,0.276,610,2976,7.28,36.13,1733,104,0,119,11.2,9.1,sandstone,8.15,34.76,71.55,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.569,7286,7486,0.267,216,4145,23.87,175.42,1565,167,0,189,20,33.9,carbonate,8.84,18.6,45.73,Injection not suitable,"Injection is not suitable because the carbonate case still fails key pressure, damage, or quality checks."
W01,0.637,7299,3995,0.278,651,1411,8.46,9.18,1774,150,0,148,1.7,41.5,sandstone,8.1,45.84,85.96,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.588,7780,4809,0.293,808,225,8.71,239.63,1407,119,0,102,29.4,43.5,carbonate,8.34,49.72,72.59,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.628,7780,7980,0.291,666,93,35.33,263.28,1925,213,0,142,20.7,82.4,sandstone,7.91,45.36,38.32,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.652,6767,4501,0.254,560,5972,35.36,240.28,947,391,0,159,29.8,49.5,sandstone,8.09,49.88,67.54,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.632,7352,7552,0.257,547,2593,13.9,310.23,1313,204,0,156,39.1,43.1,sandstone,8.1,54.53,62.99,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.597,7190,4529,0.287,710,1425,37.51,111.41,1426,244,0,107,20,47.4,carbonate,9.21,39.07,69.51,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.602,7590,3916,0.274,630,722,12.01,43.7,1314,131,0,130,12.8,42.3,sandstone,8.28,38.42,77.81,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.622,7229,3863,0.24,477,2379,9.47,43.74,1190,240,0,77,22,26.5,shale,8.01,49.57,62.91,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.658,7300,4743,0.291,778,2446,6.78,67.09,1427,242,0,175,16.5,53.6,sandstone,8.18,40.17,76.76,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.64,7256,4081,0.263,544,980,9.96,95.68,1389,278,0,99,19.6,56.2,carbonate,7.64,38.65,91.09,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.628,6940,3629,0.259,622,284,9.03,21.28,1362,269,0,101,6.6,72,sandstone,8.35,39.43,94.58,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.626,7499,3957,0.262,641,1270,5.58,7.46,1661,213,0,95,0,41.1,sandstone,8.03,41.15,94.93,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.604,7535,3903,0.267,569,3701,12.5,25.65,1987,285,0,154,8.2,47.6,carbonate,7.8,41.63,74.07,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.627,7105,3944,0.272,619,1528,6.64,39.21,1700,132,0,96,30.4,21.6,shale,8.31,54.28,70.64,Treat then inject,"Shale increases formation damage risk and lowers injectivity, so treatment is required before any injection."
W01,0.645,7179,4540,0.287,846,1717,9.91,42.94,1540,162,0,60,12.7,10.8,sandstone,8.02,39.87,85.81,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.63,6831,3618,0.262,679,1960,10.47,92.64,1434,103,0,129,30.3,19,sandstone,8.26,50.49,71.37,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.669,7067,4409,0.274,721,1970,10.25,38.24,1233,90,0,119,11.7,11.7,sandstone,7.68,38.18,73.76,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.555,7282,4716,0.258,623,3101,20.05,195.51,1342,276,0,128,50,43.2,sandstone,9.11,69.26,61.97,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.617,7328,4551,0.281,734,3400,11.25,75.26,590,356,0,10,47.5,0,sandstone,8.07,60.32,75.44,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.618,7121,4080,0.252,226,2653,8.07,119.93,1959,135,0,124,26.1,21.2,sandstone,7.93,48.03,73.45,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.575,7080,4774,0.29,697,2770,7,212.33,1474,96,0,62,20,0,sandstone,8.53,40.77,73.43,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.574,7391,7591,0.256,631,1347,9.6,253.12,1387,275,0,144,20,62.8,sandstone,8.05,43.84,63.87,Injection not suitable,"Injection is not suitable because sandstone constraints on pressure, damage risk, or water quality remain unmet."
W01,0.581,7329,4821,0.279,727,1458,28.59,278.13,1213,147,0,142,20,38.9,sandstone,8.89,41.96,68.2,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
